profile_url,exhibitor,website,email,phone,hall_stand,address,country,social_links,error,status_code,show_more_clicks,Description (Français),,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10012/Marken?cHash=eb2427803f7a95756b8b0e3baeff9cde,Derek Parnaby CyclonesInternational Ltd,https://www.parnaby.co.uk/,[MAIL],+44 1388720849,,,,"['https://twitter.com/CyclonesParnaby', 'https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10012%2FMarken%3FcHash%3Deb2427803f7a95756b8b0e3baeff9cde&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10012%2FMarken%3FcHash%3Deb2427803f7a95756b8b0e3baeff9cde', 'https://uk.linkedin.com/company/parnaby-cyclones-ltd', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10012%2FMarken%3FcHash%3Deb2427803f7a95756b8b0e3baeff9cde&display=popup&ref=plugin', 'https://www.youtube.com/@ParnabyCyclones']",,200.0,1,Derek Parnaby Cyclones International Ltd est une entreprise familiale britannique spécialisée dans la conception,la fabrication et l'installation d'équipements et d'installations de lavage de sable et d'agrégats pour les industries minières,de carrières,de recyclage et de minéraux dans le monde entier depuis 1973.
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/1011/Marken?cHash=add7cae41dc508859914e858203f52c5,Abfallbehälter & Container WeberGmbH & Co. KG,https://www.w-weber.com,info@w-weber.com,"10-14
42781",,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F1011%2FMarken%3FcHash%3Dadd7cae41dc508859914e858203f52c5&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F1011%2FMarken%3FcHash%3Dadd7cae41dc508859914e858203f52c5', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F1011%2FMarken%3FcHash%3Dadd7cae41dc508859914e858203f52c5&display=popup&ref=plugin']",,200.0,1,Abfallbehälter & Container Weber GmbH & Co. KG est l'un des principaux fabricants allemands de poubelles roulantes et de conteneurs à déchets mobiles (MGB),en plastique pour les déchets domestiques et industriels. Leurs produits,fabriqués exclusivement avec des matériaux neufs,sont conformes aux réglementations en vigueur et sont réputés pour leur qualité.
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10182/Marken?cHash=c68617232ce15f81d237f05959efff91,Ludwig und Rosa Baumgartner OHG,https://www.buersten-baumgartner.de,info@buersten-baumgartner.de,+49 9931 896600,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10182%2FMarken%3FcHash%3Dc68617232ce15f81d237f05959efff91&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10182%2FMarken%3FcHash%3Dc68617232ce15f81d237f05959efff91', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10182%2FMarken%3FcHash%3Dc68617232ce15f81d237f05959efff91&display=popup&ref=plugin']",,200.0,1,Ludwig und Rosa Baumgartner OHG est spécialisée dans la fabrication et la vente de brosses et de balais de haute qualité,pour un usage industriel et domestique.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10216/Marken?cHash=ce15498d133ae198fadafe68d62945f9,MILL.AR WELLPOINT SRL,https://www.millarwellpoint.com/,info@millarpumps.com,"41
31030",,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10216%2FMarken%3FcHash%3Dce15498d133ae198fadafe68d62945f9&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10216%2FMarken%3FcHash%3Dce15498d133ae198fadafe68d62945f9', 'https://www.facebook.com/millarwellpoint/', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10216%2FMarken%3FcHash%3Dce15498d133ae198fadafe68d62945f9&display=popup&ref=plugin', 'https://www.instagram.com/millarwellpoint', 'https://www.linkedin.com/company/millarwellpoint']",,200.0,3,MILL.AR WELLPOINT SRL est une entreprise spécialisée dans les systèmes d'assèchement (wellpoint) et les pompes,proposant des solutions pour le drainage temporaire de chantiers de construction.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10355/Marken?cHash=1cc6a4a2227c59c75f4a12ad424b444e,SMS Sanayi Malzemeleri ÜRETIM veSATISI A.S.,https://www.smstork.com,[MAIL],+90 216 3643405,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10355%2FMarken%3FcHash%3D1cc6a4a2227c59c75f4a12ad424b444e&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10355%2FMarken%3FcHash%3D1cc6a4a2227c59c75f4a12ad424b444e', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10355%2FMarken%3FcHash%3D1cc6a4a2227c59c75f4a12ad424b444e&display=popup&ref=plugin', 'https://www.facebook.com/smstorkinternational/', 'https://www.instagram.com/smstorkinternational/', 'https://www.linkedin.com/company/smstork-international/?viewAsMember=true', 'https://www.youtube.com/@torkcontrolvalve']",,200.0,4,SMS Sanayi Malzemeleri ÜRETIM ve SATISI A.S. est une société turque active dans la production et la vente de divers matériaux et équipements industriels,notamment des produits pour les applications de l'eau et de l'environnement.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10465/Marken?cHash=7f990e8c6cdb0e34435051163c256f64,Aqseptence Group GmbH,https://www.aqseptence.com,[MAIL],+49 6120 280,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10465%2FMarken%3FcHash%3D7f990e8c6cdb0e34435051163c256f64&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10465%2FMarken%3FcHash%3D7f990e8c6cdb0e34435051163c256f64', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10465%2FMarken%3FcHash%3D7f990e8c6cdb0e34435051163c256f64&display=popup&ref=plugin', 'https://www.linkedin.com/company/aqseptence-group/?viewAsMember=true', 'https://www.youtube.com/@aqseptencegroupheadquarter9433']",,200.0,2,Aqseptence Group GmbH propose des solutions pour l'eau et les eaux usées,ainsi que des technologies de filtration et de séparation pour diverses applications industrielles et municipales.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10466/Marken?cHash=f46004e6bd25895293155d0e4f861e45,Aqseptence Group GmbH,https://www.aqseptence.com,[MAIL],+49 6120 280,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10466%2FMarken%3FcHash%3Df46004e6bd25895293155d0e4f861e45&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10466%2FMarken%3FcHash%3Df46004e6bd25895293155d0e4f861e45', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10466%2FMarken%3FcHash%3Df46004e6bd25895293155d0e4f861e45&display=popup&ref=plugin', 'https://www.linkedin.com/company/aqseptence-group/?viewAsMember=true', 'https://www.youtube.com/@aqseptencegroupheadquarter9433']",,200.0,2,Aqseptence Group GmbH propose des solutions pour l'eau et les eaux usées,ainsi que des technologies de filtration et de séparation pour diverses applications industrielles et municipales.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10467/Marken?cHash=9053280d7b2f97ed96d78c47ff3bf066,Aqseptence Group GmbH,https://www.aqseptence.com,[MAIL],+49 6120 280,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10467%2FMarken%3FcHash%3D9053280d7b2f97ed96d78c47ff3bf066&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10467%2FMarken%3FcHash%3D9053280d7b2f97ed96d78c47ff3bf066', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10467%2FMarken%3FcHash%3D9053280d7b2f97ed96d78c47ff3bf066&display=popup&ref=plugin', 'https://www.linkedin.com/company/aqseptence-group/?viewAsMember=true', 'https://www.youtube.com/@aqseptencegroupheadquarter9433']",,200.0,2,Aqseptence Group GmbH propose des solutions pour l'eau et les eaux usées,ainsi que des technologies de filtration et de séparation pour diverses applications industrielles et municipales.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10474/Marken?cHash=fa6d58c4555498ed01dc2324c878c622,Aquaconsult Anlagenbau GmbH,https://www.aquaconsult.at,office@aquaconsult.at,+43 2252 41481,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10474%2FMarken%3FcHash%3Dfa6d58c4555498ed01dc2324c878c622&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10474%2FMarken%3FcHash%3Dfa6d58c4555498ed01dc2324c878c622', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10474%2FMarken%3FcHash%3Dfa6d58c4555498ed01dc2324c878c622&display=popup&ref=plugin', 'https://www.instagram.com/aquaconsult_austria/', 'https://www.linkedin.com/company/aquaconsult-anlagenbau-gmbh/']",,200.0,0,Aquaconsult Anlagenbau GmbH est spécialisée dans la conception et la construction d'installations de traitement des eaux usées et d'ingénierie environnementale,avec un accent sur les solutions de traitement biologique.,,
https://exhibitors.ifat.de/en/exhibitors-products/exhibitors-brands/exhibitors-brands-details/exhibitorDetail/ID/10505/Marken?cHash=51437d529eec7ce6e799873fd6708629,blueworld GmbH,https://www.blueworld-gmbh.de,[MAIL],+49 221 8889250,,,,"['https://twitter.com/intent/tweet?original_referer=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10505%2FMarken%3FcHash%3D51437d529eec7ce6e799873fd6708629&text=&tw_p=tweetbutton&url=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10505%2FMarken%3FcHash%3D51437d529eec7ce6e799873fd6708629', 'https://www.facebook.com/sharer.php?u=https%3A%2F%2Fexhibitors.ifat.de%2Fen%2Fexhibitors-products%2Fexhibitors-brands%2Fexhibitors-brands-details%2FexhibitorDetail%2FID%2F10505%2FMarken%3FcHash%3D51437d529eec7ce6e799873fd6708629&display=popup&ref=plugin']",,200.0,1,blueworld GmbH est une entreprise de conseil et de services dans le domaine des énergies renouvelables et de l'environnement,offrant des solutions pour une gestion durable des ressources.,,
